Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,Scaled IMDb Rating
Ranjha Refugee,Punjabi,5.5,2 h 2 mins,2018.0,All,"While a Punjabi man fights for the love of his life, he ends up learning about his long-lost brother who was raised by a Muslim family.",0.5061728395061729
Jab Tak Hai Jaan,Hindi,6.7,2 h 56 min,2012.0,13+,"Samar (Shah Rukh Khan) meets Meera (Katrina Kaif) in London & they fall in love. Samar however meets with a serious accident & Meera vows to God to leave Samar, if He allowed him to live. Samar angered with God, becomes a bomb disposal chief in the Indian Army. Here he meets Akira (Anushka Sharma). Is Akira able to unravel the mysteries, does Samar win the battle, or does God surrender to his love?",0.6543209876543211
Partner,Hindi,5.7,2 h 22 min,2007.0,NR,"Prem likes to think that he knows all that there is to know about women. Growing up with six sisters made him more sensitive to the female psyche, and he's turned that skill into a successful career of helping other men in wooing the women of their dreams. One of his newest clients is Bhaskar, who has fallen in love with his wealthy boss, Priya. While helping Bhaskar, Prem develops feelings ...",0.5308641975308642
Daphne,English,6.1,1 h 27 min,2017.0,18+,'Daphne' is the vibrant character portrait of a young woman on the threshold of a much-needed change.,0.5802469135802469
Urumbukal Urangarilla,Malayalam,6.4,2 h 13 min,2015.0,13+,"A young man named Manoj approaches two thieves Kelu and Benny, to learn from them the art of theft. One day Manoj is caught and put in jail, where he reveals his true motives.",0.617283950617284
Jayasimha,Kannada,7.1,2 h 21 min,1987.0,NR,"Jayasimha is a 1987 Indian Kannada film, directed by P. Vasu and produced by K C N Chandrashekhar and K C N Mohan. The film stars Vishnuvardhan, Mahalakshmi, Vajramuni and N S Rao in lead roles. Music of the film was composed by Vijay Anand.",0.7037037037037037
Despicable Me,Hindi,7.6,1 h 34 min,2010.0,7+,"Vying to be ""World's Greatest Villain"", Gru and his crew of hilarious minions plot the crime of the century: steal the moon -- but he meets his match when three little girls steal his heart.",0.7654320987654322
Mud,English,7.4,2 h 10 min,2012.0,16+,"Ellis and his friend Neckbone are two boys who meet Mud, a fugitive hiding out on an island in the Mississippi. Skeptical but intrigued by his fantastic scenarios, Ellis and Neckbone agree to help him. It isn’t long until Mud’s visions come true and their small town is besieged by bounty hunters.",0.7407407407407408
Mere Yaar Ki Shaadi Hai,Hindi,5.3,2 h 39 min,2002.0,All,"Sanjay's (Uday Chopra) phone rings. Anjali (Sanjana) his childhood friend is getting married. Observing Sanjay’s reaction to this news, his flatmate Ria (Bipasha Basu) concludes that Sanjay is in love with her. Sanjay sets off on a noble mission - to break the wedding. He meets the groom to be Rohit (Jimmy Shergill) and sets off on his crusade of poisoning the family’s mind against Rohit.",0.4814814814814815
Homefront,English,6.5,1 h 36 min,2013.0,18+,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",0.6296296296296297
Gladiator,English,8.5,2 h 34 min,2000.0,18+,"When a Roman general (Russell Crowe) is betrayed and his family murdered by a corrupt prince, he comes to Rome as a gladiator to seek revenge.",0.8765432098765432
De Dana Dan,Hindi,5.4,2 h 47 min,2009.0,NR,"Apart from love, Nitin and Ram everything else in their lives have zero luck, including their bank balance! But now their rich girlfriends, Anjali and Manpreet, demand that they earn enough money so that they could either elope or break up forever. Broke and desperate, Nitin and Ram need to make big money and fast! They come up with a masterplan to kidnap Moolchandji, the pet dog of a rich s ...",0.49382716049382724
Rockstar,Hindi,7.7,2 h 37 min,2011.0,NR,Rockstar is a Hindi romantic drama movie on a typical Delhi boy Janardhan (Ranbir Kapoor) who chases his dream to be a Rockstar. He falls in love with the most popular girl Heer (Nargis Fakhri) in Delhi University but it doesn't go so smoothly. Watch Rockstar to witness the journey of Janardhan from a heart broken boy to a popular Rockstar sensation who expresses his tragedy through his songs.,0.7777777777777779
The Pursuit of Happyness,English,8.0,1 h 57 min,2006.0,All,"Will Smith stars in this moving tale inspired by the true story of Chris Gardner, a San Francisco salesman struggling to build a future for himself and his 5-year-old son Christopher (Jaden Smith).",0.8148148148148149
Baba Taraknath,Bengali,5.5,2 h 30 min,1977.0,All,"A complete mythological story based on a simple village life. Sudha a simple girl likes her childhood friend Amar, but they are from different economical background. Amar a rich boy fall in love with Sudha and after their marriage Amar died in an accident. The faith on Baba Taraknath helped Sudha to regain her husband from all obstacles.",0.5061728395061729
Rajlakshmi O Srikanta,Bengali,6.2,2 h 12 min,2017.0,13+,"A Bengali film about Srikanta crossing paths with Pyaribai and discovers that she is his childhood love, Rajlakshmi.",0.5925925925925927
Surya IPS,Telugu,6.9,2 h 23 min,1991.0,NR,"Surya IPS is a 1991 Indian Telugu film, directed by A. Kodandarami Reddy and produced by T. Subbarami Reddy. The film stars Venkatesh and Vijayashanti in lead roles. Music of the film was composed by Ilaiyaraaja.",0.6790123456790125
Dil Jo Na Keh Saka,Hindi,5.4,2 h 5 min,2017.0,13+,"Dil Jo Na Keh Saka is a romantic drama that follows the story of two childhood friends, Jay and Siya, who end up going separate ways to follow their dreams. Eventually, they return to their hometown where they chance upon each other and soon discover that there is more to their relationship than just friendship.",0.49382716049382724
Gatham (Kannada),Kannada,6.1,1 h 41 min,2020.0,18+,"Rishi and his girlfriend Adithi are on their way to visit Rishi's father and their car breaks down. A stranger offers them a stay at his house and as their stay extends, there are startling twists. What is Rishi's connection with the stranger, and how does he and his girlfriend come out of the weird situation is the story of Gatham.",0.5802469135802469
